playlist_id,num_tracks,description,sentiment,name
0ZtUuoWdLMlHDPIdvvScrh,367,,0.0,#Hip Hop Study Mix
0aZG3Msa0HeEEfZxfHMI1b,215,the feeling of cold weather and leaves changing colors,0.128,fall studying 🍂🍁
0b5ettxljF4YphZqpsgHZW,31,cover image from @leaphere on twitter!,0.0,animal crossing lo-fi for studying
0eSDJEAYsPKTGKY9cQ20me,121,You need music for studying? Then this is the best playlist just for you! Enjoy listening!,0.8395,Epic Music For Studying
0fOaLAPkSR6zCP2DX1Baza,298,"Studio Ghibli Sleep ⛩️🌸🍥☯🍜playlist to dream with Totoro, Ponyo and Nausicaa, Howl and all the characters from the realm of Hayao Miyazaki! Follow also our <a href=""https://open.spotify.com/playlist/5mmgUFq1gLuSFZBbOwmLBz"">Celtic Music for Sleep playlist</a>",0.3164,Ghibli Sleep for Focus / Study / Relax
0fUuOsWs3ZgVaFAU6Mj5wI,59,,0.0,Kanye Study Vibes
0fhLf6qBzI7IMyn3yV0tk6,57,,0.0,RnB Study Playlist
0fpPy9Q5FpP7G6qhMZxF9v,97,"Christmas music for focus, study, and the workplace.",0.0,Christmas Focus & Study
0gHWIhc09FmeIejwiRwcIE,56,ESM Electronic music for study. Instrumentals and no words,-0.296,Electronic Study Music I ESM
0gzBZVxwi84Xvr4iNfgNPL,61,the best bits of the official Spotify playlist,0.6369,My Study Zone
0h71cMDjVn4MAQBCYR0LYW,53,upbeat instrumentals accoustic electric fast study homework school reading catchy chill relax ,0.4404,Energetic study
0hZNf3tcMT4x03FyjKYJ3M,226,Instrumental music from hit movies and television shows. The perfect companion for reading or studying.,0.5719,Soundtrack for Study
0idTxalXku1LzuSodoT4rd,145,casually of course ,0.1779,studying chemistry and crying 
0jqCNZkFL4fHAZ0MUoxcI2,95,Inspired by films and games that have a heavy focus on discovery and self-determination. Gives whatever you&#x27;re working on a sense of uplifting progression and passion. Mostly instrumental,0.7351,Science study music
0k3Glgk1m8gsAHxWcm9vZD,103,,0.0,Pump up studying songs
0kLkAOY2QdlnRwjUvkS5hW,140,,0.0,Study Worship
0kXaxJUfS3J4mf33RYBAcl,87,,0.0,classical study playlist 📚🎧 instrumental music with no lyrics for concentration
0kvGlKN35gYFvoVRD72vOF,203,,0.0,Instrumental Hymns for Study
0l3BFjM4puQIHIKx010LVY,514,Deep House Study - Study Deep House - Pure brainfood when you need it. The best focus music.,0.6369,Deep House Study
0lAInbK7y31tssUHmVcPA7,374,"If you&#x27;re here, you should probably be doing work right now. Productivity ftw! ",0.5093,Motivating Study Music
0oIuH6VAoJxSSbUuoF3hPC,140,"with my sony headphones, listening to classical music, watching the autumn leaves fall",0.0,studying in a french cafe  
0oK31enKqY6Jdj3vakBJoP,120,,0.0,no words study grind
0oPyDVNdgcPFAWmOYSK7O1,95,the only study playlist you’ll need to maximize your focus - no vocals,-0.296,Deep focus study playlist 💻
0pBy6yIQaPV7QNw1lwtK8T,52,,0.0,Brain Stimulating Study Music
0ppnqhNFrfIRPZmfoI8jcX,132,"Waterfalls, Rivers &amp; Stream sounds for sleeping problems, insomnia, stress relief, anxiety, zen meditation, chill out, soothe a baby, reading or study. These soothing flowing water sounds will create a calming atmosphere for deep sleep and relaxation. Nature sounds create natural white noise.",0.91,"Waterfalls, Rivers & Streams (10 Hours) Relaxing Water Sounds for Sleeping, Insomnia, Stress, Study"
0pwcxRIKQOJWXNmePWOQT7,60,Violin to Help You Focus.,0.4019,Violin Covers for Studying
0s2cjIB4ujQjHL5z79CT5H,217,for those 8+ hour study sessions in the law school library,0.0,law school study playlist
0sHbgoC07tetjgkrgwJLce,128,,0.0,peanuts study
0sT1yYGMFiYDYRMlYdbBcJ,137,the playlist getting me through school,0.0,slow study songs
0tBZqbt0BDrGQX8XhD6Ndg,203,,0.0,late night study vibe  
0tRZkztye8bfwUoqzkxnyj,13,,0.0,a playlist to romanticize studying math
0uMTNYn69HtsYJgNDHYZ21,171,description,0.0,Lofi Study 2023
0uaf9YQKv2aTWUNmZmy4Ks,338,Groovin’ Tunes with Minimal to No Lyrics to Keep You Focused &amp; On Track. submitmusic.to&#x2F;Funky-StudyInstrumentals,0.1027,Funky-Study Instrumentals
0vP0r5rl8qsfQwAePb8ehl,247,"Thunderstorm sounds (10 Hours) Thunder &amp; rain sounds for sleep, relaxing, insomnia relief, chill-out, stress relief, meditation or study. These storm sounds will play all night so that you can get a full night&#x27;s sleep. If you can&#x27;t sleep this rain and thunder sounds playlist will help u sleep better",0.9274,"Thunderstorm Sounds (10 Hours) Thunder & Rain Sounds for Sleep, Relaxing, Insomnia, Chillout & Study"
0vlW3anZpTLcELwRnfBIZW,135,,0.0,locked in (study)
0vvXsWCC9xrXsKd4FyS8kM,500,"A daily selection of chill beats - perfect to help you relax &amp; study 📚 <a href=""https://bit.ly/lofigirl-christmas"">click here to listen to christmas lofi music 🎄</a>",0.8519,Lofi Girl - beats to relax/study to
0wygHGx6Dnyf5KZQMlO524,126,This playlist was created for all the grinders in this world who want to win.,0.7269,House Study
0xByanV1EpnGW5yPOlZXo8,541,,0.0,Study Rnb
0yWaOgKKoDmUtthdPm4x8s,141,"phonk for studying, phonk study, study phonk, study music, phonk music for studying, study playlist, phonk playlist, best phonk for study",0.6369,Phonk For Studying
0ypuLGVb7lGs0WGu8a9PHg,163,,0.0,Deep House Study - Non Vocal
0yvJtuUiHI6lPOu0cAordT,216,Chill Rap &amp; RB that is easy to study to.,0.4404,Study Rap
10AFyV9YQaVllgTrWGOfwg,75,,0.0,study/memorizing | no lyrics
10M75TUt3X1qbBhpuEw6el,832,"Lofi study - The best lofi for studying - study, focus and relax with the best lofi music. Beats to study/relax to. jazzy &amp; lofi hip hop beats 🐾 1 A.M Study Session 📚 lofi hip hop/chill beats 📚 coffee shop // 24/7 lofi hip-hop beats 📚 The Ocean inside You 🌊 lofi hip hop mix",0.9062,"Lofi study - study, focus and relax with the best lofi music"
10RREmVrrHRel5O2RotNsv,58,,0.0,gilmore girls study
10eXOnQ5efQu21jRC28wAb,76,"“go to bed, you fool.” -calcifer &#x2F;&#x2F; dust bunnies lofi out next! 🌱",0.0,"studio ghibli lofi (study, sleep, relax)"
113odxCsdUcH8vijDvX5Dp,196,"Selection of the best relaxing beats &amp; chill jazz music for a perfect study, work, sleep session - best jazz vibes playlist - best cafe music songs - jazz music playlist - best background chill out music - bossa nova playlist - background music playlist - morning jazz - sleep jazz - jazz fruits",0.9769,"Jazz Fruits - jazz music to chill, relax, work, study, sleep"
11bFWLZZfYS1tHTkSuDOIG,301,💌 4K?,0.0,ANIME STUDY PLAYLIST 
14MKILK7NejmO0KAmTVrbV,55,best study&#x2F;focus&#x2F;homework playlist ever!,0.6696,the BEST study playlist
14aZCQX3NxDcfjk0XCb3aF,220,songs that make math less painful &lt;3,-0.3832,Studying Math ✍🏼💻📚
151oxi8TqZoQGjBc7QI6qt,184,,0.0,super productive edm for studying + working 
156kA62wcOrCknkCFG073f,147,,0.0,studying in a studio ghibli movie <3
15YBSMfi1hqfc4s8bVzmJb,55,,0.0,mario kart study music 
15sI4UaslhXNkuJC5oBhTi,310,pretending that chemistry is actually potions. what else is my slytherin blood good for?,0.5106,studying chemistry
16lptH3f3gyg6gwfo62YD1,124,,0.0,Study music for ADHD brains
17QVCLkzThDGxAPQLVEJIN,21,My fuel for studying,0.0,Angry & intense  classical music for studying 
185mSFsBc0zUfofHGnSUQS,45,"cyberpunk&#x2F;synthwave, mid-high tempo brain tickling music with no lyrics for adhd brains Last update: Dec 23&#x27;",-0.296,ADHD stimulating instrumental study beats
18KOvwNuUCIswalzR4uGqQ,68,Songs to help you focus; recommendations&#x2F;feedback: https:&#x2F;&#x2F;forms.gle&#x2F;h2VEKZwwPDXck3Mh6,0.4019,EDM Study Instrumentals
18PSgnalDZFcjgwtB4szP8,52,,0.0,spanish music for studying 😚
18eZMkWwoia4DcjvH9nKwm,54,,0.0,chill carti songs to study/relax to
18iucHRDt5zeAx3PNaIRQn,216,"Power Foods for your Brain. No lyrics  to pollute your focused brain. Creative Thinking Music, Improve Memory and Concentration, Binaural Beats!  Day and Morning! Ambient, Atmospheric, Intelligence, Deeply Focus, Lowkey.  Please Like to Support 👉💚",0.9238, 🧠 Brain Food •  Focus & Creativity (Study & Work)
1965t0Sekx2fUwU5eT8pOY,4446,,0.0,Study Piano
19NAlrB4LhnO95vZbGhE7x,51,,0.0,Beethoven- study music
1AhjuGs9C2VY1ql1JhaEe5,2388,,0.0,Fig Plucker Study Guide
1AruNTM8lMombNj5Vq9oVz,122,,0.0,Studying Bollywood Songs
1BC7DsARF1AbyFwyfGl0ay,97,"“now i am become death, the destroyer of worlds.”",-0.7845,studying like oppenheimer 
1GMOSFLyXzHRhBrdtTqgRH,400,Chill n Study! Message me on insta for recommendations @djrundy,0.0,Chill EDM Focus/Study/Work
1Gf9ch9QkbusBRRRmagtA3,337,Yes I actually study to this,0.4019,HARDSTYLE STUDYING
1GjuYXA2yynmo20LeSypVc,118,,0.0,Guitar for Studying
1GyP802QE36fs18W70qTVR,201,,0.0,Bass Heavy Study 
1HXEg2V1f17xECoB4t2PdZ,34,,0.0,Studying frequency
1HeZtMrFDei5tzwwniR4Xd,131,,0.0,Upbeat Study Lofi
1HkdGUh3X2aoaNitV8JKZw,52,,0.0,best music for study time
1IPcDkXgCCOucbb6s0yHa5,133,,0.0,nintendo & study
1JLw7Y5YvlsA10XjaKHTxE,353,"get your homework done with this chill vibed mellow beats playlist. tags: lofi , chillhop , jazzhop , relax beats , chill vibes , lofi chill , lofi study vibes , study lofi beats , lofi chillhop , jazz , jazzy study beats , lofi study beats , lofi hiphop",0.4404,lofi study beats 📖 chill music to study to
1KChw2emot79vRiD0zwaVD,89,Studying soundtrack,0.0,Animal Crossing Study Time
1KNVcZPWeD9AsEXJgF75hF,1954,it&#x27;s like elevator music but cooler,0.1901,study music
1LJzv7HlPZOtKXhTEsZFrn,488,,0.0,study vibes😎🔫
1Ldvobm76UaBtTdqY1FIqT,1093,The soft patter of rain on the roof is one of my favorite things.,0.4588,rain sounds for studying
1OFYueY9xdzvJESetZaiKw,3063,Press shuffle and get some work done :),0.4588,Chill Study Beats
1OJLWJRiiisVYkiI4jSaUe,45,someone hacked my account a year ago and completely changed this playlist. I am now fixing it to what it was before. thank you for still being here :),0.4215,studying/focus mix!
1OZMRLQiCVhVDCt0iPAWn0,67,Non-instrumental&#x2F;Vocals only humming nasheeds to listen to while studying without distraction.,0.2924,humming nasheeds (study playlist)
1PnMIZGA19TDJAUrFhDpB9,820,"Tap on 🤍 to save it to your library and play to chill, study, nap, or sleep. These chill Zelda covers will help you fall asleep or relax.",0.8807,Zelda piano for sleeping/relaxing/studying
1Q59akXpVfdstsG7AsWnol,335,"listening to this playlist, in the hogwarts library studying, whilst the rain is pouring outside. ",0.0,studying at hogwarts.
1QHy5dzZP69dMXMTYk8mSR,71,Chill Rap | Studying &amp; Homework | Late Night Vibes | IG: @aidanzarrella,0.0,CHILL RAP VIBES 2023 / STUDY MUSIC 🌕📚
1QcsybeUidDJIrPQTHS6dD,758,"Follow my playlist and relax. Follow the <a href=""https://spoti.fi/3pSU3qB"">sleep lofi playlist</a> now",0.4404,"Anime Lofi Playlist (for chill, study, sleep)"
1RFhxYk8zg16AARygAzFAr,65,"genetics, human body, cell structure and all this hard stuff you have to know",-0.128,studying biology
1STt3dfDNhGgqWCJeLgRTz,592,Some of my favorite video game music that also happens to help me study really well. There are a few movie tracks in here just because they add to the ambiance and help me study. I hope this can help you too!,0.9401,Video Game Music for Studying/Focusing
1Skfq7IDHmpD41l2lo1hhw,27,"Buat homework , membaca , dll sambil selawat dalam hati",0.0,Selawat and Zikir for Study 🌸🌟
1SqLD2OoHEljrJHpcybJoG,183,Link to download the local files: https:&#x2F;&#x2F;drive.google.com&#x2F;open?id=1fF3ki_diyKz2Z5nOUB9nskqOyFkulah1,0.0,Cinematic Soundtrack Studying
1TNmQs4nWH4K9ocxldI9WT,154,It&#x27;s a beautiful day to study 🌻,0.5994,pov: studying for medical school
1VNlxr9QhhZSL98f0hGa5W,164,"Instrumentals, Focus, Flow, Chill, Bass guitar, Khruangbin, Psychedelic, Groovy, Melodic, Blues, Relax. Enjoy 🌈💕",0.7269,Chill & Groovy Study/Work Beats
1Vy4SpC3YdLNoQMylsWY3L,35,,0.0,study sesh
1WP360WJGXSINtLr1D3NkX,243,"chill beats, lofi vibes, new tracks every week... Tokyo Lofi Healing 💖 Enjoy Moment (Work, Study, Relax, Sleep)",0.7269,"Tokyo Lofi Healing 💖 Enjoy Moment (Work, Study, Relax, Sleep)"
1WPz1yv8jJlAM5DG9XZj0i,134,,0.0,NO LYRICS - STUDY
1X1hIEBe1UedofdI9B9GMG,45,,0.0,fall vibes but instrumental because im studying
1ZChv5Ufayqqsyyrf2wqW9,87,in my grinding and trying to survive my classes and exams era (it’s not an era),0.0,academic study session grind 📖
1ZyZEjDm3nT2lEXu37YEWJ,414,,0.0,Instrumental Study Worship ✨
1a1jAHWRmTwhU01LQRAhSw,129,"unclench your jaw, and focus! bonne chance  !!",0.4359,french music for studying
1a8x5YMzKqAUbVuvatX0zN,370,a study playlist with no lyrics or distracting sounds. updated whenever i feel like it.,-0.2263,"study, chill, no lyrics"
1b7gUXkm9ONs0wvpAPCwDU,109,@lovenika on youtube &lt;3,0.0,soft kpop piano for studying
1b8w5f5Xwj98UFJ4QEJmKY,100,"Therapeutic soft lofi songs for me, studying.",0.0,Soothing Studying Tunes
1btZkE5CHWrRVssvoXgrua,65,magical string soundtracks for moments when you need focus. enjoy 📚🌳,0.4939,Sunny’s Study Nook
1cZY9AP74FJxPC4SAfLQzP,151,,0.0,Romantizing study time 🤍📚
1crGXoxgqHVw7CD3BnCLUP,51,"christmas jazz &amp; lofi for those holiday study sessions, it&#x27;s also the correct length for 4 pomodoros | Features: Idealism, Beegie Adair, Wun Two, and more | Contact: icookiestalker (IG)",0.6597,holiday study grind
1ey2sjtkQbk5ygWrWemL5G,94,crisp mornings and productivity &#x2F;&#x2F;,0.0,winter study
1fXC5KDq9CQLaUaxOvoGua,69,posh music to feel like an aristocrat while you complete that discussion post that was due an hour ago u fool,-0.1027,STUDY STRINGS
1fg0Og9rQkYRjct7Wx3295,153,Lofi beats for your study and chill sessions. Submit new tracks to Instagram @lofijams.co,0.0,Lofi Beats to Study and Chill to
1fqDGIDA7TQ5wkCjrPyLGf,348,Christian lofi to study and relax to by Yoni Charis. #christianlofi #lofi #lofibeats #lofihiphop,0.4404,Christian Lofi Study Playlist 
1gbaRzJdFor8HEpUL47ELZ,67,slow and soft background tunes to study,0.0,studying with mac demarco
1hC5iQAWwA9KhMBdc6umos,126,,0.0,Orchestral | Study Music
1iTpMB5SjeUUmjZvxRGCf7,192,,0.0,studying 🍂🍁🪩🎧⏳📚
1iZ69nzwz5UpZzyQGD6cuk,66,"Fall lofi hip hop, Chill Autumn beats, Thanksgiving holiday autumn chill hip hop lofi fall, Chillhop Fall, halloween, thanksgiving, autumn leaves",0.4019,Fall lofi 2023🍁lofi fall🍂chill Autumn study🍂
1j1f58FyNT79ihHltT4FWh,51,,0.0,romantizing studying
1jfyflM39DD3GjN7maSufK,256,,0.0,r&b soul study 💤💤💤
1k545AKfX1LpwJHWDWptKJ,59,,0.0,Hype Study Rap
1kGtBpJnR0bPWX4JXi5wUo,92,Best of classical music and relaxing study music for focus or calm background instrumental vibes &amp; soft beats,0.8658,Musica Classica Relax Study☄️📖
1kgb7c0MnRBzozOHDDHUgv,1040,"a playlist made out of what i believe are the best orchestral pieces, including played, seen, and film compositions.",0.765,orchestra/studying music
1lCxPgDJMLU0rItXniVaEh,85,"Let your mind unwind with these chilled electronic tracks that will help you focus when you need to. Follow <a href=""http://open.spotify.com/user/ultramusicofficial"">Ultra Records</a> and <a href=""http://open.spotify.com/user/myplay.com"">Filtr</a> to get more playlists, updated daily!",0.4574,Study Vibes
1lFlFbTJX6PvhZ8ynn5BoE,82,calm worship to praise His name,0.7964,bible study + quiet time
1lPRm7Y9S41GhBy631xM58,125,the original playlist (that kept getting taken down),0.3182,rory studying chilton era
1lpMET8ZlGRpx8a4E7jV6v,52,Tired of listening to classical music while studying?  This is the perfect playlist for you,0.2023,hype studying songs
1mbPAt4IWt8LD2TRLqPgnh,272,"Instrumental songs from video game OSTs. Up-beat enough to keep your energy up, but not distracting, so you can stay focused.",0.7416,Video Game Study and Focus
1nzRMQdSBubRHREBT0VJff,256,manifesting for that A,0.0,romanticize studying
1otjKDUkTEEKZHmqJdkew8,72,holiday piano music to study during the christmas time.,0.4019,CHRISTMAS STUDY
1pvaMBRxEmD9nSdoeK2MRc,47,dark academia classical music. romaticising studying.,0.0,symphony study hall
1qlBftZv7axEzavvXExnGo,181,"downtempo, soft jazz, instrumentals, lofi, soundscapes, you name it... the best collection of study music. [TIKTOK: arimeyerrr &amp; INSTA: ari.meyerrr]",0.6369,studying © 
1rWLWhBpJjfxq415fqLSB7,39,hyperfocus but make it cool!!!,0.5894,polyphia for studying 
1rZDfY4iSz9ee80FMLm6mH,93,,0.0,Study/background noise
1sJpG21DWugztR91E9fZgY,71,"A playlist for when you&#x27;re reading, studying, or drawing to make you feel better and relaxed ♡ @cdm_mus",0.7269,study kpop playlist relaxing/soft
1sQfwPSsNVrmEuUPfhAsru,36,staying productive in the holiday season,0.4019,christmas studying
1tHbktgir3lLLTpZbLmkSM,73,,0.0,Study country music 📖📚
1tcL8GwQXUKU779WYVNfjb,62,,0.0,study grind 😼
1u6qp2VMeFGH57UEuTGmL8,454,"This playlist is my best friend when I am writing. It's music for when you're in, or need to get into, flow. No (or gentle) lyrics so as not to pollute your precious, focused, writerly brain. ",0.9349,"Music for writing, study, flow and focus."
1uKdQYTuenwKadwpMQ2o19,907,"lyricless music from scores, movies, popular tunes &amp; more",0.4215,instrumental music for studying
1vRkv8ZM4LHWJV5e7pDuCu,105,,0.0,upbeat instrumental study playlist
1vxebyKIw4N5WgJ0NMnGI2,147,,0.0,studying with Jesus
1wnpoTj3N8wnDwibIXGlhS,62,,0.0,Study music for ADHD brains 
1xM7NOeuuLm1FNFJLc7uzE,184,Zelda Piano Music,0.0,"Zelda Music for chill, study and sleep"
1y5Xvya1yqXOMpF6ErmExv,1309,Instagram: @djdiemclassic,0.0,Superior Study Playlist
1y8TgqnCAhEis87VCU1Ydo,867,"Video game music, remixes, and cover songs designed to keep you productive. Laid-back lofi hip hop, chill-out, deep house, and good vibes inspired by video games. Check out <a href=""https://open.spotify.com/playlist/0yJhsLQd4OBCXBrQCwz8oV?si=5Mpx7Yb_RaeQ-4z4hOc8VA"">Chilltendo</a>!",0.75,Video Game Study Lounge 🎒
1z3L9fRp1vdfsH9t4Q66Ud,48,,0.0,Bossa nova study
1zMYMWY2k2RAlSukUbCMEN,127,in the zone,0.0,"chill, country study"
1zWZEgyRaI2DyshfMQpaxe,876,all i do is study,0.0,movie scores for studying
20I9gMRDuCC0P6GjMMMCRo,185,Instrumental beats for creativity &amp; concentration. Write&#x2F;read&#x2F;relax&#x2F;focus to this lofi background music. ,0.3818,study background music 2023
20yQsTYqxy2Kl1srlnvMh1,81,BTS Instrumentals For Studying,0.0,BTS Instrumentals For Studying
21QAiexNwPNKiEbH7ans7e,71,Just relax and enjoy the wounderful sountrack of persona. Work Hard for your Dreams ❤️,0.8126,Persona Relax/Study
21hp11b9r4knyUiaMSl2VU,80,This playlist is your ultimate companion for productive study sessions and focused work. Enjoy!,0.7263,Chill Study
24YOGQt4hibp27M202XQJN,33,,0.0,Inspirational Study Music
25pcD0pB7sOteTorgElIFH,60,"calm ambient background noise, for studying&#x2F;working&#x2F;sleeping",0.3182,nature study mix
25siBxmqeakpSakHcTi4OQ,109,because lyrics are overrated ,0.0,upbeat study music w/ no lyrics
25u3wuY2IcmOSaq1FTPLg5,89,,0.0,brown noise for studying 🎧🦉 
26rxdAoke6wwaSxuTJAufD,266,"chill beats&#x2F;soft vocals, k-pop lofi, + some anime lofi || good luck studying ˚ʚ♡ɞ˚",0.7096,aesthetic study playlist
27LONK4JoPEKzyYpiihNoE,140,,0.0,studying songs
27Zm1P410dPfedsdoO9fqm,259,"Best classical music to study, chill, and relax. From Mozart, Vivaldi, Beethoven, Chopin, Debussy, Satie, Tchaikovsky, to Christmas Classics. Peaceful vibes from Baroque to Romantic and Modern. From opera to chamber to symphony, all in one playlist. Only the best. Enjoy!",0.967,Classical Bangers 🎹🎻
27j5d2Q7DSwFwuWwQtcKLc,20,,0.0,Locked in studying!
